vendor_id,name,location,product,reliability_score,avg_price_quintal
V1323,Krishna Traders,Maharashtra,Potato,4.8,1300.0
V6470,GreenHarvest,UP,Rice,4.8,1000.0
V7187,AgroSupply,Maharashtra,Soybean,3.5,1200.0
V5491,FarmDirect,Punjab,Potato,4.0,1000.0
V7533,Unknown,Haryana,Soybean,2.5,1200.0
V2919,Krishna Traders,Punjab,Rice,4.0,1100.0
V4951,Unknown,Unknown,Potato,4.0,1200.0
V5390,GreenHarvest,UP,Potato,4.0,1200.0
V8445,Unknown,Unknown,Potato,3.5,1400.0
V9992,FarmDirect,Punjab,Maize,2.5,1400.0
V4542,Unknown,Karnataka,Potato,4.8,1000.0
V6385,GreenHarvest,Maharashtra,Rice,3.9,1200.0
V4767,Krishna Traders,Haryana,Rice,3.9,1200.0
V4521,Krishna Traders,Punjab,Rice,4.8,1100.0
V3782,GreenHarvest,Karnataka,Rice,2.5,1100.0
V9473,Unknown,Unknown,Soybean,3.9,1100.0
V1562,Krishna Traders,Punjab,Soybean,4.0,1300.0
V9551,GreenHarvest,Unknown,Wheat,3.9,1000.0
V2421,AgroSupply,Maharashtra,Soybean,3.5,1200.0
V7081,AgroSupply,UP,Wheat,4.0,1300.0
V7192,FarmDirect,Unknown,Soybean,4.8,1200.0
V4871,AgroSupply,Haryana,Soybean,4.8,1100.0
V7544,AgroSupply,Karnataka,Rice,4.8,1200.0
V1415,FarmDirect,UP,Wheat,3.9,1200.0
V2811,GreenHarvest,UP,Soybean,4.0,1300.0
V6766,GreenHarvest,Karnataka,Potato,3.9,1100.0
V2882,FarmDirect,Karnataka,Maize,4.8,1000.0
V9495,GreenHarvest,Haryana,Wheat,2.5,1000.0
V6749,Krishna Traders,Unknown,Wheat,4.8,1200.0
V6134,Krishna Traders,Karnataka,Wheat,2.5,1000.0
V1712,Unknown,Punjab,Wheat,4.8,1300.0
V3929,Unknown,Maharashtra,Potato,3.9,1400.0
V8791,Unknown,Unknown,Soybean,2.5,1000.0
V7337,GreenHarvest,Haryana,Soybean,3.9,1400.0
V4828,Krishna Traders,Maharashtra,Wheat,3.5,1100.0
V7357,AgroSupply,Haryana,Potato,4.8,1000.0
V4160,AgroSupply,Karnataka,Soybean,4.8,1300.0
V3219,GreenHarvest,Karnataka,Soybean,3.9,1200.0
V9917,GreenHarvest,Maharashtra,Potato,4.8,1000.0
V4796,Krishna Traders,Maharashtra,Wheat,3.9,1200.0
V8554,FarmDirect,Karnataka,Maize,3.9,1200.0
V3880,FarmDirect,Punjab,Soybean,3.5,1200.0
V3987,Krishna Traders,Haryana,Maize,4.8,1100.0
V7542,AgroSupply,Unknown,Soybean,3.9,1200.0
V5542,AgroSupply,Karnataka,Potato,3.9,1400.0
V5150,Unknown,Maharashtra,Potato,2.5,1200.0
V6506,Unknown,UP,Wheat,2.5,1100.0
V8714,Unknown,Haryana,Rice,4.0,1200.0
V9907,FarmDirect,Unknown,Wheat,3.9,1200.0
V2235,Unknown,Unknown,Wheat,2.5,1300.0
V6615,FarmDirect,Unknown,Wheat,4.0,1200.0
V5988,Krishna Traders,Unknown,Wheat,2.5,1200.0
V9416,AgroSupply,Haryana,Maize,4.0,1400.0
V5380,AgroSupply,Maharashtra,Maize,4.8,1300.0
V2620,AgroSupply,Unknown,Potato,3.9,1000.0
V1970,Krishna Traders,Karnataka,Potato,3.5,1400.0
V7611,AgroSupply,Karnataka,Soybean,2.5,1100.0
V1592,Unknown,Unknown,Rice,3.9,1000.0
V9319,FarmDirect,Maharashtra,Potato,4.0,1000.0
V8607,Krishna Traders,Karnataka,Potato,3.9,1300.0
V8213,AgroSupply,Karnataka,Soybean,4.0,1200.0
V7547,GreenHarvest,Maharashtra,Rice,4.0,1200.0
V8755,Unknown,Maharashtra,Potato,4.8,1200.0
V1782,GreenHarvest,Haryana,Rice,3.9,1400.0
V6247,AgroSupply,Karnataka,Maize,2.5,1400.0
V7542,FarmDirect,Punjab,Potato,4.8,1400.0
V7741,FarmDirect,Punjab,Rice,4.0,1400.0
V3006,Unknown,UP,Rice,3.9,1100.0
V2056,FarmDirect,UP,Wheat,3.9,1200.0
V7260,Krishna Traders,Karnataka,Maize,4.0,1200.0
V4619,AgroSupply,Karnataka,Potato,3.9,1200.0
V1636,FarmDirect,Karnataka,Potato,2.5,1400.0
V4619,Krishna Traders,Karnataka,Maize,4.0,1400.0
V1771,FarmDirect,Unknown,Rice,4.0,1100.0
V1176,Unknown,UP,Potato,4.8,1200.0
V1383,Krishna Traders,Punjab,Potato,3.5,1200.0
V8497,Unknown,UP,Wheat,4.8,1200.0
V2010,AgroSupply,Maharashtra,Potato,3.9,1400.0
V7551,Krishna Traders,Punjab,Soybean,4.0,1400.0
V1611,Krishna Traders,Unknown,Rice,2.5,1200.0
V8787,AgroSupply,Karnataka,Maize,4.8,1300.0
V3778,FarmDirect,Haryana,Wheat,4.0,1300.0
V5305,AgroSupply,Unknown,Rice,3.5,1100.0
V4143,AgroSupply,Punjab,Potato,3.5,1200.0
V4626,AgroSupply,Karnataka,Potato,2.5,1100.0
V5704,FarmDirect,Unknown,Soybean,4.0,1200.0
V5927,GreenHarvest,UP,Potato,3.5,1300.0
V9258,FarmDirect,UP,Maize,3.9,1200.0
V2659,GreenHarvest,Unknown,Potato,3.9,1300.0
V5901,FarmDirect,UP,Soybean,2.5,1200.0
V9969,FarmDirect,Punjab,Potato,4.8,1200.0
V7139,AgroSupply,Unknown,Potato,3.5,1200.0
V5595,AgroSupply,UP,Wheat,3.9,1200.0
V5993,FarmDirect,Haryana,Wheat,4.0,1200.0
V3634,Krishna Traders,Maharashtra,Potato,2.5,1200.0
V4577,FarmDirect,Punjab,Potato,3.9,1200.0
V1074,GreenHarvest,Maharashtra,Potato,3.5,1100.0
V4631,FarmDirect,Unknown,Wheat,3.9,1300.0
V1141,AgroSupply,UP,Rice,3.9,1200.0
V5727,GreenHarvest,Haryana,Potato,2.5,1200.0
V5982,AgroSupply,Karnataka,Potato,3.5,1200.0
V3281,AgroSupply,Haryana,Wheat,2.5,1300.0
V5853,FarmDirect,Maharashtra,Wheat,2.5,1400.0
V4070,GreenHarvest,Punjab,Rice,2.5,1000.0
V5064,Unknown,UP,Soybean,4.0,1200.0
V6325,GreenHarvest,Unknown,Wheat,3.9,1300.0
V5766,Krishna Traders,Maharashtra,Potato,3.5,1300.0
V3923,GreenHarvest,Punjab,Maize,3.5,1300.0
V1134,Unknown,Punjab,Rice,4.0,1200.0
V9680,FarmDirect,Punjab,Soybean,3.9,1200.0
V7061,AgroSupply,Maharashtra,Potato,3.9,1200.0
V3120,FarmDirect,Haryana,Soybean,2.5,1300.0
V1605,FarmDirect,Punjab,Soybean,2.5,1000.0
V5663,AgroSupply,UP,Soybean,4.0,1400.0
V3141,Unknown,Haryana,Wheat,4.8,1400.0
V2748,Krishna Traders,Haryana,Wheat,4.0,1100.0
V9637,Unknown,Punjab,Maize,2.5,1000.0
V5329,Krishna Traders,Haryana,Potato,4.8,1100.0
V5149,GreenHarvest,UP,Wheat,3.9,1100.0
V3854,AgroSupply,Karnataka,Rice,4.8,1200.0
V3122,GreenHarvest,UP,Maize,4.8,1400.0
V7090,Unknown,Punjab,Rice,2.5,1400.0
V1341,GreenHarvest,Punjab,Maize,3.5,1200.0
V8100,Unknown,Maharashtra,Wheat,3.9,1100.0
V5757,AgroSupply,Maharashtra,Wheat,3.9,1300.0
V7859,AgroSupply,Unknown,Rice,4.0,1200.0
V1211,GreenHarvest,UP,Soybean,4.0,1000.0
V4375,FarmDirect,Haryana,Rice,4.8,1000.0
V2032,Krishna Traders,UP,Wheat,4.0,1300.0
V7086,AgroSupply,Maharashtra,Potato,3.5,1300.0
V5074,GreenHarvest,Punjab,Rice,3.9,1000.0
V1232,FarmDirect,Punjab,Potato,4.8,1400.0
V6348,Krishna Traders,UP,Maize,4.0,1300.0
V1438,FarmDirect,Unknown,Rice,3.5,1400.0
V1813,Unknown,UP,Potato,4.0,1400.0
V2677,Unknown,UP,Wheat,3.9,1000.0
V2737,AgroSupply,Karnataka,Wheat,3.9,1100.0
V4375,Unknown,UP,Wheat,4.8,1300.0
V3494,Krishna Traders,Haryana,Wheat,4.0,1000.0
V1719,FarmDirect,Haryana,Potato,3.9,1200.0
V2146,Unknown,Punjab,Soybean,4.8,1000.0
V7964,AgroSupply,Maharashtra,Potato,3.5,1200.0
V8018,AgroSupply,Punjab,Soybean,2.5,1400.0
V3419,Unknown,Punjab,Wheat,4.8,1200.0
V5466,Krishna Traders,Unknown,Wheat,4.0,1100.0
V5505,Unknown,Unknown,Soybean,3.9,1100.0
V5161,Unknown,Punjab,Soybean,4.8,1200.0
V7605,Krishna Traders,Maharashtra,Rice,3.9,1300.0
V7874,FarmDirect,Unknown,Soybean,4.0,1200.0
V1563,FarmDirect,Punjab,Soybean,4.8,1300.0
V9641,Unknown,Unknown,Soybean,4.0,1100.0
V3307,FarmDirect,Unknown,Wheat,3.9,1300.0
V6428,Krishna Traders,Unknown,Soybean,4.0,1200.0
V6709,Krishna Traders,Maharashtra,Wheat,4.0,1200.0
V3446,GreenHarvest,Haryana,Wheat,4.0,1200.0
V9848,AgroSupply,UP,Soybean,3.9,1200.0
V4816,GreenHarvest,Unknown,Rice,2.5,1000.0
V4484,Unknown,Maharashtra,Potato,3.5,1200.0
V1114,GreenHarvest,Punjab,Wheat,3.5,1200.0
V8906,FarmDirect,Maharashtra,Potato,4.8,1200.0
V9334,AgroSupply,Punjab,Maize,4.8,1400.0
V9560,FarmDirect,Karnataka,Soybean,2.5,1300.0
V8380,AgroSupply,UP,Rice,4.0,1200.0
V8205,Unknown,UP,Maize,3.5,1200.0
V7444,AgroSupply,UP,Maize,3.9,1000.0
V5554,AgroSupply,Maharashtra,Soybean,4.8,1200.0
V8545,Krishna Traders,UP,Wheat,3.9,1300.0
V4443,Unknown,Punjab,Maize,4.0,1200.0
V1183,AgroSupply,Haryana,Maize,4.0,1400.0
V1252,Krishna Traders,UP,Soybean,4.0,1100.0
V5944,FarmDirect,Punjab,Potato,4.0,1200.0
V6288,GreenHarvest,Maharashtra,Rice,3.9,1300.0
V7927,AgroSupply,Punjab,Soybean,3.9,1200.0
V4621,GreenHarvest,Haryana,Soybean,3.9,1100.0
V2629,AgroSupply,Punjab,Wheat,2.5,1200.0
V5383,Krishna Traders,Punjab,Soybean,3.9,1400.0
V2666,Unknown,Haryana,Soybean,4.0,1400.0
V1722,Krishna Traders,Punjab,Maize,3.5,1100.0
V1330,FarmDirect,UP,Maize,4.8,1200.0
V9876,GreenHarvest,Karnataka,Soybean,3.9,1400.0
V9979,GreenHarvest,Karnataka,Potato,4.0,1200.0
V1167,Krishna Traders,UP,Wheat,2.5,1300.0
V5470,AgroSupply,Haryana,Maize,2.5,1100.0
V6178,GreenHarvest,UP,Wheat,3.9,1400.0
V5795,FarmDirect,Punjab,Rice,3.9,1200.0
V3789,GreenHarvest,UP,Wheat,2.5,1200.0
V9696,AgroSupply,UP,Rice,3.9,1200.0
V9485,GreenHarvest,Maharashtra,Potato,3.9,1200.0
V4203,AgroSupply,Unknown,Wheat,2.5,1400.0
V4738,AgroSupply,Haryana,Wheat,3.5,1300.0
V6966,Unknown,Unknown,Potato,3.5,1300.0
V8653,AgroSupply,Haryana,Potato,3.9,1200.0
V5849,FarmDirect,Unknown,Maize,4.8,1100.0
V2244,AgroSupply,Unknown,Wheat,4.8,1300.0
V4348,Krishna Traders,Haryana,Maize,3.5,1200.0
V1424,AgroSupply,Karnataka,Rice,3.5,1400.0
V1880,AgroSupply,Unknown,Wheat,4.8,1200.0
V9424,Unknown,Punjab,Soybean,2.5,1400.0
V4457,Unknown,Unknown,Potato,4.8,1000.0
V7393,Krishna Traders,Maharashtra,Rice,4.0,1200.0
V2220,GreenHarvest,Maharashtra,Potato,3.9,1400.0
V9464,FarmDirect,Haryana,Wheat,4.0,1000.0
V7647,GreenHarvest,Punjab,Soybean,3.9,1300.0
V5156,Unknown,Unknown,Maize,3.5,1400.0
V6667,AgroSupply,Maharashtra,Rice,3.5,1200.0
V9629,Krishna Traders,Maharashtra,Wheat,4.8,1200.0
V4191,Unknown,Maharashtra,Soybean,4.8,1300.0
V5542,FarmDirect,Unknown,Maize,2.5,1400.0
V8371,Krishna Traders,Maharashtra,Rice,3.9,1100.0
V3554,Unknown,Punjab,Soybean,4.0,1300.0
V8897,FarmDirect,Karnataka,Maize,3.9,1200.0
V1753,AgroSupply,Karnataka,Soybean,3.5,1200.0
V4367,GreenHarvest,Punjab,Soybean,3.5,1200.0
V6553,Krishna Traders,Punjab,Wheat,3.9,1200.0
V4352,Krishna Traders,Maharashtra,Maize,4.0,1100.0
V4061,Unknown,Maharashtra,Maize,2.5,1200.0
V8241,AgroSupply,Maharashtra,Wheat,3.9,1200.0
V3239,FarmDirect,Haryana,Maize,4.0,1200.0
V3226,Krishna Traders,Punjab,Maize,2.5,1300.0
V3228,FarmDirect,Karnataka,Soybean,4.8,1100.0
V8584,FarmDirect,Haryana,Soybean,4.8,1300.0
V4605,AgroSupply,Karnataka,Potato,3.9,1400.0
V9496,GreenHarvest,Unknown,Maize,3.9,1400.0
V4571,GreenHarvest,UP,Maize,3.9,1100.0
V2944,Krishna Traders,UP,Potato,3.9,1000.0
V5325,AgroSupply,UP,Soybean,4.8,1200.0
V3918,FarmDirect,Maharashtra,Potato,3.5,1000.0
V2941,FarmDirect,Punjab,Soybean,3.5,1200.0
V6554,Krishna Traders,Karnataka,Maize,4.8,1200.0
V3072,FarmDirect,Punjab,Soybean,4.8,1100.0
V3175,Krishna Traders,Maharashtra,Potato,3.9,1200.0
V5913,Krishna Traders,Punjab,Maize,3.9,1300.0
V3585,FarmDirect,Punjab,Potato,4.0,1000.0
V6463,GreenHarvest,Unknown,Wheat,3.9,1200.0
V3455,GreenHarvest,Karnataka,Potato,4.8,1000.0
V2033,Krishna Traders,Karnataka,Potato,3.9,1200.0
V5125,FarmDirect,Punjab,Potato,3.9,1200.0
V6831,FarmDirect,Maharashtra,Maize,3.9,1400.0
V3224,FarmDirect,Punjab,Soybean,4.8,1200.0
V9445,Krishna Traders,UP,Rice,2.5,1100.0
V2463,AgroSupply,UP,Rice,3.9,1300.0
V1262,AgroSupply,Punjab,Rice,2.5,1100.0
V8154,GreenHarvest,Maharashtra,Potato,3.9,1300.0
V6686,AgroSupply,Karnataka,Potato,3.5,1200.0
V7764,AgroSupply,Maharashtra,Wheat,3.9,1000.0
V7212,FarmDirect,Punjab,Wheat,3.9,1300.0
V4930,GreenHarvest,Haryana,Potato,3.5,1300.0
V4355,GreenHarvest,Punjab,Potato,3.9,1200.0
V8919,FarmDirect,Karnataka,Soybean,3.9,1100.0
V7530,Krishna Traders,UP,Potato,4.0,1400.0
V6332,Krishna Traders,Unknown,Potato,3.9,1200.0
V2376,FarmDirect,Maharashtra,Wheat,3.9,1000.0
V8147,AgroSupply,UP,Wheat,4.0,1100.0
V3671,Krishna Traders,Haryana,Maize,4.8,1300.0
V2599,FarmDirect,Maharashtra,Soybean,4.0,1200.0
V4972,FarmDirect,Haryana,Maize,4.8,1300.0
V4328,FarmDirect,Haryana,Rice,4.0,1200.0
V6065,GreenHarvest,Karnataka,Potato,2.5,1300.0
V7426,AgroSupply,Punjab,Wheat,3.9,1200.0
V9908,FarmDirect,Unknown,Wheat,3.9,1200.0
V9300,FarmDirect,Punjab,Wheat,4.0,1200.0
V9479,Krishna Traders,Haryana,Soybean,4.0,1200.0
V8370,Unknown,Unknown,Rice,3.9,1100.0
V9266,Unknown,Haryana,Rice,3.9,1100.0
V5985,GreenHarvest,Haryana,Rice,4.8,1100.0
V1029,FarmDirect,Unknown,Wheat,4.8,1000.0
V3933,GreenHarvest,Punjab,Rice,3.9,1000.0
V3289,Krishna Traders,Maharashtra,Soybean,3.5,1200.0
V3691,Unknown,Maharashtra,Soybean,4.8,1000.0
V9909,GreenHarvest,Punjab,Potato,4.8,1000.0
V3450,FarmDirect,Maharashtra,Soybean,3.5,1100.0
V5129,FarmDirect,Haryana,Maize,2.5,1300.0
V4090,AgroSupply,Unknown,Rice,3.9,1000.0
V5981,AgroSupply,Punjab,Soybean,3.5,1100.0
V3460,FarmDirect,Unknown,Rice,3.9,1200.0
V3260,Krishna Traders,Haryana,Potato,3.5,1400.0
V3258,AgroSupply,Punjab,Soybean,3.9,1100.0
V5592,AgroSupply,Maharashtra,Potato,3.9,1200.0
V2045,FarmDirect,Maharashtra,Maize,2.5,1200.0
V5714,Krishna Traders,Unknown,Wheat,4.0,1200.0
V1324,FarmDirect,Punjab,Soybean,3.9,1200.0
V9478,Unknown,Karnataka,Potato,3.5,1200.0
V2922,GreenHarvest,UP,Soybean,2.5,1200.0
V6806,Unknown,Maharashtra,Potato,3.9,1200.0
V2053,Krishna Traders,Haryana,Maize,3.9,1000.0
V8874,Unknown,Haryana,Potato,3.5,1100.0
V9129,Krishna Traders,Maharashtra,Wheat,4.8,1000.0
V5748,Unknown,UP,Wheat,4.8,1300.0
V9401,GreenHarvest,Karnataka,Potato,4.0,1100.0
V9010,FarmDirect,UP,Wheat,4.0,1200.0
V5021,FarmDirect,Unknown,Soybean,3.9,1200.0
V2967,FarmDirect,Punjab,Soybean,3.9,1200.0
V1343,FarmDirect,UP,Rice,3.9,1000.0
V7810,AgroSupply,Punjab,Maize,2.5,1300.0
V5740,FarmDirect,Punjab,Potato,4.8,1200.0
V7357,Krishna Traders,UP,Potato,4.0,1200.0
V3026,GreenHarvest,Punjab,Wheat,3.9,1200.0
V1533,AgroSupply,Punjab,Wheat,2.5,1200.0
V4121,GreenHarvest,Maharashtra,Wheat,3.5,1400.0
V9914,Unknown,Karnataka,Potato,4.0,1300.0
V3379,GreenHarvest,UP,Maize,4.8,1300.0
V7973,FarmDirect,UP,Potato,2.5,1200.0
V3988,AgroSupply,Haryana,Rice,3.9,1200.0
V4134,FarmDirect,Unknown,Potato,3.9,1200.0
V1853,FarmDirect,Karnataka,Potato,4.8,1200.0
V6498,Unknown,Karnataka,Potato,2.5,1200.0
V4565,Krishna Traders,Punjab,Maize,3.9,1200.0
V1449,AgroSupply,Haryana,Wheat,3.5,1300.0
V6334,Krishna Traders,Maharashtra,Wheat,4.0,1200.0
V6377,AgroSupply,Karnataka,Potato,4.0,1100.0
V7135,AgroSupply,Punjab,Maize,3.9,1200.0
V5925,GreenHarvest,Haryana,Wheat,4.8,1300.0
V9362,AgroSupply,Haryana,Soybean,3.9,1300.0
V8683,FarmDirect,Maharashtra,Wheat,4.0,1100.0
V5463,AgroSupply,Haryana,Potato,3.9,1400.0
V6408,FarmDirect,Karnataka,Maize,4.0,1300.0
V5611,AgroSupply,Karnataka,Maize,3.9,1200.0
V4706,Krishna Traders,Karnataka,Soybean,2.5,1300.0
V8502,GreenHarvest,UP,Wheat,2.5,1200.0
V7282,AgroSupply,Punjab,Rice,4.8,1000.0
V9750,AgroSupply,Punjab,Rice,3.9,1100.0
V7798,FarmDirect,Unknown,Wheat,3.5,1400.0
V6256,Krishna Traders,Unknown,Wheat,3.5,1400.0
V3828,FarmDirect,Punjab,Potato,2.5,1200.0
V2359,GreenHarvest,Punjab,Rice,4.0,1400.0
V8503,GreenHarvest,Unknown,Maize,2.5,1100.0
V8968,Krishna Traders,Punjab,Rice,4.0,1100.0
V9443,FarmDirect,Haryana,Wheat,3.9,1000.0
V2815,FarmDirect,Punjab,Soybean,3.5,1000.0
V2487,GreenHarvest,Karnataka,Maize,3.9,1100.0
V8604,FarmDirect,Maharashtra,Potato,3.9,1200.0
V4347,FarmDirect,Unknown,Potato,4.0,1400.0
V7098,Krishna Traders,Maharashtra,Rice,4.8,1000.0
V9533,FarmDirect,Punjab,Maize,3.9,1400.0
V7887,Unknown,Punjab,Potato,3.9,1400.0
V8345,FarmDirect,UP,Wheat,2.5,1000.0
V6938,Krishna Traders,Karnataka,Rice,3.9,1400.0
V6473,AgroSupply,Unknown,Wheat,2.5,1100.0
V6471,FarmDirect,Maharashtra,Rice,3.5,1100.0
V3073,Krishna Traders,Punjab,Potato,4.0,1300.0
V7920,GreenHarvest,Haryana,Rice,4.0,1400.0
V8701,GreenHarvest,Unknown,Wheat,4.0,1100.0
V2696,GreenHarvest,Karnataka,Potato,2.5,1000.0
V6452,AgroSupply,Punjab,Soybean,3.9,1200.0
V1796,Krishna Traders,Maharashtra,Maize,4.8,1000.0
V7868,Unknown,UP,Rice,3.5,1100.0
V4357,GreenHarvest,Punjab,Wheat,4.0,1300.0
V9199,Krishna Traders,UP,Soybean,4.8,1000.0
V1742,Unknown,Maharashtra,Soybean,4.8,1200.0
V7594,Unknown,Karnataka,Maize,3.5,1200.0
V9994,AgroSupply,Punjab,Wheat,2.5,1200.0
V3583,FarmDirect,Haryana,Soybean,4.0,1000.0
V7811,FarmDirect,Haryana,Rice,3.9,1200.0
V2310,AgroSupply,Maharashtra,Wheat,2.5,1400.0
V6668,Krishna Traders,UP,Wheat,3.9,1100.0
V8061,Unknown,UP,Wheat,3.5,1100.0
V1335,GreenHarvest,Punjab,Potato,3.9,1200.0
V5191,AgroSupply,Haryana,Wheat,4.8,1200.0
V8725,Unknown,UP,Soybean,3.5,1400.0
V4215,GreenHarvest,UP,Rice,3.9,1000.0
V8454,FarmDirect,Haryana,Maize,4.0,1000.0
V8952,Krishna Traders,UP,Soybean,2.5,1200.0
V6503,FarmDirect,Karnataka,Rice,3.5,1400.0
V5474,GreenHarvest,Maharashtra,Soybean,2.5,1000.0
V8883,FarmDirect,Karnataka,Potato,4.0,1200.0
V8357,FarmDirect,UP,Potato,3.9,1400.0
V4787,FarmDirect,Haryana,Rice,3.5,1400.0
V9449,Krishna Traders,UP,Rice,4.0,1100.0
V3144,Krishna Traders,UP,Maize,3.9,1400.0
V5379,FarmDirect,Unknown,Soybean,2.5,1100.0
V9405,AgroSupply,Maharashtra,Wheat,4.0,1200.0
V5952,Krishna Traders,Unknown,Maize,2.5,1200.0
V1280,AgroSupply,Maharashtra,Potato,4.8,1000.0
V7225,Krishna Traders,Unknown,Rice,3.5,1000.0
V5068,Krishna Traders,UP,Rice,3.5,1300.0
V1730,FarmDirect,Karnataka,Soybean,3.9,1200.0
V6175,Unknown,UP,Maize,3.5,1100.0
V5057,GreenHarvest,Punjab,Soybean,4.8,1000.0
V1079,Unknown,Punjab,Soybean,3.5,1200.0
V2143,GreenHarvest,Haryana,Maize,3.9,1200.0
V8243,Krishna Traders,Haryana,Soybean,4.0,1100.0
V1290,GreenHarvest,Unknown,Maize,3.9,1400.0
V7170,Unknown,Karnataka,Maize,4.8,1200.0
V1938,FarmDirect,Punjab,Maize,4.0,1200.0
V2296,GreenHarvest,Karnataka,Wheat,3.5,1200.0
V2488,Unknown,Punjab,Soybean,4.8,1200.0
V3085,AgroSupply,Punjab,Soybean,2.5,1200.0
V7868,AgroSupply,UP,Maize,3.5,1100.0
V4138,Krishna Traders,Unknown,Rice,3.5,1000.0
V4690,FarmDirect,Maharashtra,Potato,3.9,1200.0
V8548,FarmDirect,Karnataka,Soybean,4.8,1200.0
V3323,AgroSupply,Unknown,Wheat,3.9,1200.0
V8017,AgroSupply,Haryana,Maize,3.5,1000.0
V1840,Unknown,Punjab,Soybean,3.9,1100.0
V5803,GreenHarvest,Maharashtra,Potato,3.9,1200.0
V6766,AgroSupply,Karnataka,Soybean,3.9,1000.0
V5504,Krishna Traders,Maharashtra,Potato,4.8,1000.0
V9102,AgroSupply,Maharashtra,Wheat,3.9,1000.0
V7140,FarmDirect,Punjab,Soybean,3.9,1100.0
V7250,GreenHarvest,Punjab,Wheat,4.0,1400.0
V9617,Krishna Traders,Haryana,Rice,2.5,1400.0
V1744,GreenHarvest,Karnataka,Maize,4.8,1100.0
V5409,Krishna Traders,Karnataka,Soybean,3.9,1200.0
V4518,FarmDirect,Unknown,Maize,2.5,1100.0
V3503,Krishna Traders,Karnataka,Maize,3.9,1200.0
V2664,FarmDirect,Punjab,Wheat,4.8,1300.0
V5017,GreenHarvest,Maharashtra,Potato,2.5,1200.0
V7007,Krishna Traders,Haryana,Rice,4.0,1300.0
V2776,Krishna Traders,Punjab,Rice,3.9,1200.0
V9129,AgroSupply,UP,Wheat,3.9,1100.0
V2678,Unknown,Maharashtra,Potato,4.8,1200.0
V1332,Unknown,Haryana,Rice,3.9,1300.0
V7984,AgroSupply,Haryana,Wheat,3.5,1300.0
V5799,GreenHarvest,Maharashtra,Soybean,3.9,1200.0
V5320,Krishna Traders,Unknown,Potato,4.0,1200.0
V3245,Krishna Traders,Unknown,Potato,2.5,1000.0
V7350,FarmDirect,Punjab,Wheat,3.5,1300.0
V9761,AgroSupply,Punjab,Potato,2.5,1000.0
V9014,FarmDirect,Maharashtra,Maize,3.9,1400.0
V6040,AgroSupply,Punjab,Maize,3.9,1300.0
V3067,AgroSupply,Punjab,Wheat,2.5,1000.0
V6228,GreenHarvest,Haryana,Soybean,4.8,1400.0
V4019,Krishna Traders,Maharashtra,Soybean,4.0,1300.0
V5413,Unknown,Unknown,Wheat,3.5,1100.0
V8761,GreenHarvest,Maharashtra,Soybean,3.9,1200.0
V7032,AgroSupply,Karnataka,Wheat,3.9,1200.0
V3433,GreenHarvest,Maharashtra,Potato,3.9,1100.0
V9103,FarmDirect,Haryana,Maize,3.9,1100.0
V1376,AgroSupply,Karnataka,Wheat,3.5,1200.0
V3156,FarmDirect,Maharashtra,Soybean,3.9,1000.0
V3350,AgroSupply,UP,Maize,4.8,1400.0
V9754,GreenHarvest,UP,Rice,3.9,1100.0
V4616,FarmDirect,Unknown,Soybean,4.0,1200.0
V1002,Krishna Traders,UP,Wheat,3.9,1000.0
V3111,Unknown,UP,Wheat,4.0,1400.0
V2026,Krishna Traders,Karnataka,Potato,3.9,1100.0
